B,abT_.CD4.,abT_.CD8.,gd_T,MAIT,Mast,mDC,Monocyte,Neutrophil,NK,pDC,Plasma,Th17,Treg,PD_B,PD_abT_.CD4.,PD_abT_.CD8.,PD_gd_T,PD_MAIT,PD_Mast,PD_mDC,PD_Monocyte,PD_Neutrophil,PD_NK,PD_pDC,PD_Plasma,PD_Th17,PD_Treg,Epi_1,Epi_2,Epi_3,Mel,PD_Epi_1,PD_Epi_2,PD_Epi_3,PD_Mel,Epi_1.1,Epi_1.2,Epi_1.3,LEC,SMC,VEC_1.1,VEC_1.2,VEC_1.3,VEC_1.4,PD_LEC,PD_SMC,PD_VEC_1.1,PD_VEC_1.2,PD_VEC_1.3,PD_VEC_1.4,Fib_1.1,Fib_1.2,Fib_1.3,Fib_1.4,Fib_1.5,PD_Fib_1.1,PD_Fib_1.2,PD_Fib_1.3,PD_Fib_1.4,PD_Fib_1.5,Other,
6_progressing_6,0,0,0,0,0,0,0,0,0.043667572,0,0,0.100775745,0,0,0.052485172,0,0.00044487,0,0,0,0.051878303,0.014470135,0.058111759,0.013256568,0.094045444,0.229955345,0.076276304,0,0,0,0,0,0,0.001255657,0.043311744,0.032485221,0,0,0.015447053,0,0,0,0,0,0,0.005841644,0,0,0.128558612,0,0,0,0,0,0,0,0,0.034954716,0,0,0,0.002778137
6_progressing_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1098393,0.330378204,0,0.01470496,0,0,0,0,0.009939707,0,0,0,0,0.193292275,0.042465923,0,0,0,0,0,0,0,0,0,0.024060586,0,0,0.234539964,0,0,0,0,0,0,0,0,0.040779081,0,0,0,0
6_progressing_10,0,0.038235038,0.002883776,0,0,0,0,0,0.009234073,0,0,0.049945209,0,0,0.017695441,0,0.013251407,0,0,0,0.046431298,0.026694077,0.030394038,0,0.079119581,0.245147456,0.05471771,0,0,0.00616418,0,0,0,0.014707509,0.176587694,0.025496981,0,0,0.017102892,0,0,0,0,0,0,0.005124281,0,0,0.124757321,0,0,0,0,0,0,0,0,0.016310038,0,0,0,0
6_progressing_12,0.006124646,0.052094139,0,0,0,0,0,0,0,0,0,0.073230648,0,0,0.040263324,0,0,0,0,0,0.068248601,0.006493529,0.038550933,0.006862108,0.077137238,0.266536529,0.037230886,0,0,0.022800868,0,0,0,0.024967396,0.080806434,0.029710636,0,0,0.01280321,0,0,0,0,0,0,0.003062568,0,0,0.102181301,0,0,0,0,0,0,0,0,0.050895006,0,0,0,0
7_stable_0,0,0,0,0,0,0,0,0,0.011010085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125205673,0,0,0.042182972,0,0,0,0.092580064,0,0,0,0,0.001246862,0.123698786,0,0,0,0,0,0,0,0,0,0.021935336,0,0,0.518043506,0,0,0,0,0,0,0,0,0.064096716,0,0,0,0
7_stable_2,0.034587438,0.004989362,0,0,0,0,0,0.010741916,0.057011953,0,0,0.244234783,0,0,0.178836757,0.004499335,0,0,0.033976001,0.00051791,0,0.015252173,0.08944941,0,0,0.006590234,0,0,0,0.008395297,0,0,0,0,0.040335232,0,0,0,0,0.010339639,0.003005559,0.0698818,0,0,0,0,0,0.104795629,0,0,0,0,0,0,0,0.082559573,0,0,0,0,0,0
7_stable_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07879907,0,0.03032015,0.001031861,0,0,0,0.01145846,0,0,0,0,0.029181994,0.070511924,0,0,0,0,0,0,0,0,0,0.064312822,0,0,0.619764175,0,0,0,0,0,0,0,0,0.094619545,0,0,0,0
7_stable_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068480273,0,0,0,0,0,0,0.06880907,0,0,0,0,0.470129877,0.057028443,0,0,0,0,0,0,0,0,0,0.009857679,0,0,0.306851321,0,0,0,0,0,0,0,0,0.018843336,0,0,0,0
7_stable_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181074051,0,0,0.011724791,0,0,0,0.019141963,0,0,0,0,0.045116792,0.049444064,0,0,0,0,0,0,0,0,0,0.054182688,0,0,0.30537007,0,0.12765278,0,0,0,0,0,0,0.206292801,0,0,0,0
7_stable_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22923905,0,0,0,0,0,0,0.011763776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045665961,0,0,0.296425492,0,0.183522643,0,0,0,0,0,0,0.233383078,0,0,0,0
